Ticker,Company Name,Sector,Industry,Exchange,Cash/Debt,Interest Coverage,Equity/Assets,Debt/Equity,Debt/Assets,Debt/EBITDA,F-Score,Z-Score,M-Score,WACC,RoC,FS score,FS warnings
SIMO,Silicon Motion Technology Corporation,Technology,Semiconductors,NASDAQ,inf,,76.93%,0.00%,0.00%,0.00%,6,8.55,-2.3,7.01%,19.63%,6.75/8.0,0
DAC,Danaos Corporation,Industrials,Marine Shipping,NYSE,0.1,2.79,32.87%,157.71%,0.00%,463.67%,6,0.59,-2.71,6.13%,7.46%,1.25/8.0,2
GLNG,Golar LNG Limited,Energy,Oil & Gas Midstream,NASDAQ,0.09,1.25,32.34%,169.29%,0.00%,1798.58%,6,-0.17,-3.41,4.49%,2.43%,1.0/8.0,4
TGH,Textainer Group Holdings Limited,Industrials,Rental & Leasing Services,NYSE,0.05,1.22,24.20%,301.59%,0.00%,801.05%,5,0.57,-2.38,5.49%,3.73%,0.75/8.0,4
SB,"Safe Bulkers, Inc",Industrials,Marine Shipping,NYSE,0.18,1.63,42.42%,127.06%,0.00%,646.24%,3,0.55,-2.16,4.94%,4.27%,0.0/8.0,6
LPG,Dorian LPG Ltd,Energy,Oil & Gas Midstream,NYSE,0.1,5.03,58.43%,64.99%,0.00%,299.53%,7,1.19,-2.32,6.45%,10.02%,4.75/8.0,2
GASS,StealthGas Inc,Industrials,Marine Shipping,NASDAQ,0.19,1.1,58.60%,65.47%,38.36%,590.32%,7,0.43,-1.35,6.26%,2.41%,3.5/8.0,4
KNOP,KNOT Offshore Partners LP,Industrials,Marine Shipping,NYSE,0.04,2.51,0.00%,0.00%,0.00%,500.00%,6,0.56,-3.87,6.02%,6.95%,1.5/8.0,2
FRO,Frontline Ltd,Energy,Oil & Gas Midstream,NYSE,0.11,2.52,40.83%,112.12%,0.00%,720.43%,8,0.53,-2.85,4.51%,6.76%,2.75/8.0,3
EURN,Euronav NV,Energy,Oil & Gas Midstream,NYSE,0.18,2.03,55.51%,72.19%,0.00%,319.12%,8,1.13,-2.83,3.41%,4.69%,4.75/8.0,2
STNG,Scorpio Tankers Inc,Energy,Oil & Gas Midstream,NYSE,0.16,0.73,38.28%,62.42%,0.00%,367.26%,7,0.08,-3.53,6.23%,2.65%,3.0/8.0,3
TNK,Teekay Tankers Ltd,Energy,Oil & Gas Midstream,NYSE,0.15,1.98,44.41%,61.62%,27.43%,243.03%,8,0.58,-2.77,4.46%,4.24%,4.25/8.0,3
TNP,Tsakos Energy Navigation Limited,Energy,Oil & Gas Midstream,NYSE,0.12,1.64,46.01%,105.79%,0.00%,724.06%,7,0.47,-2.79,4.39%,3.72%,2.75/8.0,4
TRTN,Triton International Limited,Industrials,Rental & Leasing Services,NYSE,0.01,2.12,26.26%,260.86%,70.64%,518.04%,5,0.88,-2.96,6.17%,6.35%,2.5/8.0,2
NNA,Navios Maritime Acquisition Corporation,Energy,Oil & Gas Midstream,NYSE,0.05,0.55,20.18%,274.52%,0.00%,917.02%,8,-0.17,-2.51,7.88%,3.08%,1.75/8.0,4
GSL,"Global Ship Lease, Inc",Industrials,Marine Shipping,NYSE,0.15,1.49,30.03%,220.94%,0.00%,557.14%,5,0.28,-2.2,9.26%,8.98%,0.0/8.0,5
