Name,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/Free Cash Flow,Dividend Yield,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Float Short,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Analyst Recom,Change,Stocks
Lumber & Wood Production,10.21056,16.16,13.99,5.94,0.8,2.84,11.66,45.06,0.0232,0.36,0.027200000000000002,0.1139,0.0137,0.0366,0.0913,0.09230000000000001,0.3885,0.2905,0.2894,2.64,0.0053,5
Lodging,139.70078,455.58,41.85,,4.14,15.63,11.63,48.11,0.0046,0.2553,-0.0147,0.0855,0.0356,-0.0014000000000000002,0.1913,0.18100000000000002,0.2688,0.0484,-0.0379,2.48,-0.022400000000000003,12
Leisure,130.02607,86.87,25.0,12.06,2.99,3.13,8.75,40.76,0.0232,0.15960000000000002,0.07200000000000001,0.0761,0.057800000000000004,0.0317,0.09960000000000001,0.2615,0.4481,0.0601,0.0048,2.02,0.0128,30
Internet Retail,2963.89579,64.64,44.45,2.57,4.61,11.19,16.89,45.91,0.0001,0.8057,0.25170000000000003,0.3427,0.0414,0.0042,-0.0315,0.039,0.2802,0.8031999999999999,0.7055,1.76,0.0113,37
Internet Content & Information,3928.50847,37.43,30.93,2.38,7.52,5.92,14.02,63.03,0.0002,0.24309999999999998,0.1574,0.29760000000000003,0.0458,0.0111,0.0204,0.1552,0.267,0.42369999999999997,0.4114,1.81,-0.0014000000000000002,62
Integrated Freight & Logistics,343.91777,33.37,20.51,2.77,1.57,6.1,14.09,54.55,0.013999999999999999,0.18489999999999998,0.12029999999999999,0.131,0.0277,0.0062,0.0103,0.0608,0.3665,0.45899999999999996,0.43670000000000003,2.33,-0.0002,17
Insurance Brokers,194.17209,30.44,21.66,3.49,3.55,5.44,13.62,28.71,0.0124,0.0851,0.0872,0.067,0.0326,0.0046,0.0647,0.0262,0.0661,0.0755,0.0513,2.47,0.009000000000000001,15
Insurance-Specialty,43.53393,12.68,11.16,1.56,1.26,1.16,5.22,11.21,0.0254,0.1213,0.0814,0.0425,0.0528,0.0087,0.0768,0.122,0.1436,-0.1362,-0.11689999999999999,2.04,0.0036,16
Insurance-Reinsurance,26.92293,15.19,9.96,1.38,0.91,0.86,4.41,3.67,0.018600000000000002,0.0417,0.1101,0.1306,0.019799999999999998,-0.0052,0.0761,0.057300000000000004,0.05,-0.17629999999999998,-0.1861,2.55,0.0096,7
Insurance-Property & Casualty,323.42907,17.22,14.54,2.85,1.23,1.38,13.34,9.52,0.0158,0.1301,0.0604,0.0965,0.0168,0.0161,0.06709999999999999,0.1033,0.1267,-0.0262,-0.032400000000000005,2.53,0.0105,46
